,Emotions,Path,Intensity,Statement,actor
322,fear,/03-01-06-02-02-01-06.wav,intense,Dogs are sitting by the door,Actor_06
323,fear,/03-01-06-01-01-01-06.wav,normal,Kids are talking by the door,Actor_06
324,angry,/03-01-05-01-01-02-06.wav,normal,Kids are talking by the door,Actor_06
325,calm,/03-01-02-01-01-02-06.wav,normal,Kids are talking by the door,Actor_06
326,neutral,/03-01-01-01-01-01-06.wav,normal,Kids are talking by the door,Actor_06
327,calm,/03-01-02-02-02-02-06.wav,intense,Dogs are sitting by the door,Actor_06
328,happy,/03-01-03-01-02-01-06.wav,normal,Dogs are sitting by the door,Actor_06
329,happy,/03-01-03-02-01-01-06.wav,intense,Kids are talking by the door,Actor_06
330,surprise,/03-01-08-02-02-02-06.wav,intense,Dogs are sitting by the door,Actor_06
331,surprise,/03-01-08-01-01-02-06.wav,normal,Kids are talking by the door,Actor_06
332,fear,/03-01-06-01-02-01-06.wav,normal,Dogs are sitting by the door,Actor_06
333,angry,/03-01-05-01-02-02-06.wav,normal,Dogs are sitting by the door,Actor_06
334,angry,/03-01-05-02-01-02-06.wav,intense,Kids are talking by the door,Actor_06
335,fear,/03-01-06-02-01-01-06.wav,intense,Kids are talking by the door,Actor_06
336,sad,/03-01-04-01-01-01-06.wav,normal,Kids are talking by the door,Actor_06
337,disgust,/03-01-07-01-01-02-06.wav,normal,Kids are talking by the door,Actor_06
338,disgust,/03-01-07-02-02-02-06.wav,intense,Dogs are sitting by the door,Actor_06
339,sad,/03-01-04-02-02-01-06.wav,intense,Dogs are sitting by the door,Actor_06
340,happy,/03-01-03-02-02-01-06.wav,intense,Dogs are sitting by the door,Actor_06
341,happy,/03-01-03-01-01-01-06.wav,normal,Kids are talking by the door,Actor_06
342,calm,/03-01-02-02-01-02-06.wav,intense,Kids are talking by the door,Actor_06
343,calm,/03-01-02-01-02-02-06.wav,normal,Dogs are sitting by the door,Actor_06
344,neutral,/03-01-01-01-02-01-06.wav,normal,Dogs are sitting by the door,Actor_06
345,happy,/03-01-03-02-01-02-06.wav,intense,Kids are talking by the door,Actor_06
346,happy,/03-01-03-01-02-02-06.wav,normal,Dogs are sitting by the door,Actor_06
347,calm,/03-01-02-02-02-01-06.wav,intense,Dogs are sitting by the door,Actor_06
348,neutral,/03-01-01-01-01-02-06.wav,normal,Kids are talking by the door,Actor_06
349,calm,/03-01-02-01-01-01-06.wav,normal,Kids are talking by the door,Actor_06
350,surprise,/03-01-08-02-01-01-06.wav,intense,Kids are talking by the door,Actor_06
351,surprise,/03-01-08-01-02-01-06.wav,normal,Dogs are sitting by the door,Actor_06
352,angry,/03-01-05-01-01-01-06.wav,normal,Kids are talking by the door,Actor_06
353,fear,/03-01-06-01-01-02-06.wav,normal,Kids are talking by the door,Actor_06
354,fear,/03-01-06-02-02-02-06.wav,intense,Dogs are sitting by the door,Actor_06
355,angry,/03-01-05-02-02-01-06.wav,intense,Dogs are sitting by the door,Actor_06
356,disgust,/03-01-07-01-02-01-06.wav,normal,Dogs are sitting by the door,Actor_06
357,sad,/03-01-04-01-02-02-06.wav,normal,Dogs are sitting by the door,Actor_06
358,sad,/03-01-04-02-01-02-06.wav,intense,Kids are talking by the door,Actor_06
359,disgust,/03-01-07-02-01-01-06.wav,intense,Kids are talking by the door,Actor_06
360,happy,/03-01-03-02-02-02-07.wav,intense,Dogs are sitting by the door,Actor_07
361,happy,/03-01-03-01-01-02-07.wav,normal,Kids are talking by the door,Actor_07
362,calm,/03-01-02-02-01-01-07.wav,intense,Kids are talking by the door,Actor_07
363,calm,/03-01-02-01-02-01-07.wav,normal,Dogs are sitting by the door,Actor_07
364,neutral,/03-01-01-01-02-02-07.wav,normal,Dogs are sitting by the door,Actor_07
365,surprise,/03-01-08-02-02-01-07.wav,intense,Dogs are sitting by the door,Actor_07
366,surprise,/03-01-08-01-01-01-07.wav,normal,Kids are talking by the door,Actor_07
367,fear,/03-01-06-01-02-02-07.wav,normal,Dogs are sitting by the door,Actor_07
368,angry,/03-01-05-01-02-01-07.wav,normal,Dogs are sitting by the door,Actor_07
369,angry,/03-01-05-02-01-01-07.wav,intense,Kids are talking by the door,Actor_07
370,fear,/03-01-06-02-01-02-07.wav,intense,Kids are talking by the door,Actor_07
371,sad,/03-01-04-01-01-02-07.wav,normal,Kids are talking by the door,Actor_07
372,disgust,/03-01-07-01-01-01-07.wav,normal,Kids are talking by the door,Actor_07
373,disgust,/03-01-07-02-02-01-07.wav,intense,Dogs are sitting by the door,Actor_07
374,sad,/03-01-04-02-02-02-07.wav,intense,Dogs are sitting by the door,Actor_07
375,surprise,/03-01-08-02-01-02-07.wav,intense,Kids are talking by the door,Actor_07
376,surprise,/03-01-08-01-02-02-07.wav,normal,Dogs are sitting by the door,Actor_07
377,angry,/03-01-05-01-01-02-07.wav,normal,Kids are talking by the door,Actor_07
378,fear,/03-01-06-01-01-01-07.wav,normal,Kids are talking by the door,Actor_07
379,fear,/03-01-06-02-02-01-07.wav,intense,Dogs are sitting by the door,Actor_07
380,angry,/03-01-05-02-02-02-07.wav,intense,Dogs are sitting by the door,Actor_07
381,disgust,/03-01-07-01-02-02-07.wav,normal,Dogs are sitting by the door,Actor_07
382,sad,/03-01-04-01-02-01-07.wav,normal,Dogs are sitting by the door,Actor_07
383,sad,/03-01-04-02-01-01-07.wav,intense,Kids are talking by the door,Actor_07
384,disgust,/03-01-07-02-01-02-07.wav,intense,Kids are talking by the door,Actor_07
385,happy,/03-01-03-02-01-01-07.wav,intense,Kids are talking by the door,Actor_07
386,happy,/03-01-03-01-02-01-07.wav,normal,Dogs are sitting by the door,Actor_07
387,calm,/03-01-02-02-02-02-07.wav,intense,Dogs are sitting by the door,Actor_07
388,neutral,/03-01-01-01-01-01-07.wav,normal,Kids are talking by the door,Actor_07
389,calm,/03-01-02-01-01-02-07.wav,normal,Kids are talking by the door,Actor_07
390,surprise,/03-01-08-01-01-02-07.wav,normal,Kids are talking by the door,Actor_07
391,surprise,/03-01-08-02-02-02-07.wav,intense,Dogs are sitting by the door,Actor_07
392,sad,/03-01-04-02-02-01-07.wav,intense,Dogs are sitting by the door,Actor_07
393,disgust,/03-01-07-02-02-02-07.wav,intense,Dogs are sitting by the door,Actor_07
394,disgust,/03-01-07-01-01-02-07.wav,normal,Kids are talking by the door,Actor_07
395,sad,/03-01-04-01-01-01-07.wav,normal,Kids are talking by the door,Actor_07
396,fear,/03-01-06-02-01-01-07.wav,intense,Kids are talking by the door,Actor_07
397,angry,/03-01-05-02-01-02-07.wav,intense,Kids are talking by the door,Actor_07
398,angry,/03-01-05-01-02-02-07.wav,normal,Dogs are sitting by the door,Actor_07
399,fear,/03-01-06-01-02-01-07.wav,normal,Dogs are sitting by the door,Actor_07
400,neutral,/03-01-01-01-02-01-07.wav,normal,Dogs are sitting by the door,Actor_07
401,calm,/03-01-02-01-02-02-07.wav,normal,Dogs are sitting by the door,Actor_07
402,calm,/03-01-02-02-01-02-07.wav,intense,Kids are talking by the door,Actor_07
403,happy,/03-01-03-01-01-01-07.wav,normal,Kids are talking by the door,Actor_07
404,happy,/03-01-03-02-02-01-07.wav,intense,Dogs are sitting by the door,Actor_07
405,calm,/03-01-02-01-01-01-07.wav,normal,Kids are talking by the door,Actor_07
406,neutral,/03-01-01-01-01-02-07.wav,normal,Kids are talking by the door,Actor_07
407,calm,/03-01-02-02-02-01-07.wav,intense,Dogs are sitting by the door,Actor_07
408,happy,/03-01-03-01-02-02-07.wav,normal,Dogs are sitting by the door,Actor_07
409,happy,/03-01-03-02-01-02-07.wav,intense,Kids are talking by the door,Actor_07
410,surprise,/03-01-08-01-02-01-07.wav,normal,Dogs are sitting by the door,Actor_07
411,surprise,/03-01-08-02-01-01-07.wav,intense,Kids are talking by the door,Actor_07
412,disgust,/03-01-07-02-01-01-07.wav,intense,Kids are talking by the door,Actor_07
413,sad,/03-01-04-02-01-02-07.wav,intense,Kids are talking by the door,Actor_07
414,sad,/03-01-04-01-02-02-07.wav,normal,Dogs are sitting by the door,Actor_07
415,disgust,/03-01-07-01-02-01-07.wav,normal,Dogs are sitting by the door,Actor_07
416,angry,/03-01-05-02-02-01-07.wav,intense,Dogs are sitting by the door,Actor_07
417,fear,/03-01-06-02-02-02-07.wav,intense,Dogs are sitting by the door,Actor_07
418,fear,/03-01-06-01-01-02-07.wav,normal,Kids are talking by the door,Actor_07
419,angry,/03-01-05-01-01-01-07.wav,normal,Kids are talking by the door,Actor_07
420,surprise,/03-01-08-01-02-01-08.wav,normal,Dogs are sitting by the door,Actor_08
421,surprise,/03-01-08-02-01-01-08.wav,intense,Kids are talking by the door,Actor_08
422,disgust,/03-01-07-02-01-01-08.wav,intense,Kids are talking by the door,Actor_08
423,sad,/03-01-04-02-01-02-08.wav,intense,Kids are talking by the door,Actor_08
424,sad,/03-01-04-01-02-02-08.wav,normal,Dogs are sitting by the door,Actor_08
425,disgust,/03-01-07-01-02-01-08.wav,normal,Dogs are sitting by the door,Actor_08
426,angry,/03-01-05-02-02-01-08.wav,intense,Dogs are sitting by the door,Actor_08
427,fear,/03-01-06-02-02-02-08.wav,intense,Dogs are sitting by the door,Actor_08
428,fear,/03-01-06-01-01-02-08.wav,normal,Kids are talking by the door,Actor_08
429,angry,/03-01-05-01-01-01-08.wav,normal,Kids are talking by the door,Actor_08
430,calm,/03-01-02-01-01-01-08.wav,normal,Kids are talking by the door,Actor_08
431,neutral,/03-01-01-01-01-02-08.wav,normal,Kids are talking by the door,Actor_08
432,calm,/03-01-02-02-02-01-08.wav,intense,Dogs are sitting by the door,Actor_08
433,happy,/03-01-03-01-02-02-08.wav,normal,Dogs are sitting by the door,Actor_08
434,happy,/03-01-03-02-01-02-08.wav,intense,Kids are talking by the door,Actor_08
435,neutral,/03-01-01-01-02-01-08.wav,normal,Dogs are sitting by the door,Actor_08
436,calm,/03-01-02-01-02-02-08.wav,normal,Dogs are sitting by the door,Actor_08
437,calm,/03-01-02-02-01-02-08.wav,intense,Kids are talking by the door,Actor_08
438,happy,/03-01-03-01-01-01-08.wav,normal,Kids are talking by the door,Actor_08
439,happy,/03-01-03-02-02-01-08.wav,intense,Dogs are sitting by the door,Actor_08
440,surprise,/03-01-08-01-01-02-08.wav,normal,Kids are talking by the door,Actor_08
441,surprise,/03-01-08-02-02-02-08.wav,intense,Dogs are sitting by the door,Actor_08
442,sad,/03-01-04-02-02-01-08.wav,intense,Dogs are sitting by the door,Actor_08
443,disgust,/03-01-07-02-02-02-08.wav,intense,Dogs are sitting by the door,Actor_08
444,disgust,/03-01-07-01-01-02-08.wav,normal,Kids are talking by the door,Actor_08
445,sad,/03-01-04-01-01-01-08.wav,normal,Kids are talking by the door,Actor_08
446,fear,/03-01-06-02-01-01-08.wav,intense,Kids are talking by the door,Actor_08
447,angry,/03-01-05-02-01-02-08.wav,intense,Kids are talking by the door,Actor_08
448,angry,/03-01-05-01-02-02-08.wav,normal,Dogs are sitting by the door,Actor_08
449,fear,/03-01-06-01-02-01-08.wav,normal,Dogs are sitting by the door,Actor_08
450,happy,/03-01-03-02-01-01-08.wav,intense,Kids are talking by the door,Actor_08
451,happy,/03-01-03-01-02-01-08.wav,normal,Dogs are sitting by the door,Actor_08
452,calm,/03-01-02-02-02-02-08.wav,intense,Dogs are sitting by the door,Actor_08
453,neutral,/03-01-01-01-01-01-08.wav,normal,Kids are talking by the door,Actor_08
454,calm,/03-01-02-01-01-02-08.wav,normal,Kids are talking by the door,Actor_08
455,surprise,/03-01-08-02-01-02-08.wav,intense,Kids are talking by the door,Actor_08
456,surprise,/03-01-08-01-02-02-08.wav,normal,Dogs are sitting by the door,Actor_08
457,angry,/03-01-05-01-01-02-08.wav,normal,Kids are talking by the door,Actor_08
458,fear,/03-01-06-01-01-01-08.wav,normal,Kids are talking by the door,Actor_08
459,fear,/03-01-06-02-02-01-08.wav,intense,Dogs are sitting by the door,Actor_08
460,angry,/03-01-05-02-02-02-08.wav,intense,Dogs are sitting by the door,Actor_08
461,disgust,/03-01-07-01-02-02-08.wav,normal,Dogs are sitting by the door,Actor_08
462,sad,/03-01-04-01-02-01-08.wav,normal,Dogs are sitting by the door,Actor_08
463,sad,/03-01-04-02-01-01-08.wav,intense,Kids are talking by the door,Actor_08
464,disgust,/03-01-07-02-01-02-08.wav,intense,Kids are talking by the door,Actor_08
465,surprise,/03-01-08-02-02-01-08.wav,intense,Dogs are sitting by the door,Actor_08
466,surprise,/03-01-08-01-01-01-08.wav,normal,Kids are talking by the door,Actor_08
467,fear,/03-01-06-01-02-02-08.wav,normal,Dogs are sitting by the door,Actor_08
468,angry,/03-01-05-01-02-01-08.wav,normal,Dogs are sitting by the door,Actor_08
469,angry,/03-01-05-02-01-01-08.wav,intense,Kids are talking by the door,Actor_08
470,fear,/03-01-06-02-01-02-08.wav,intense,Kids are talking by the door,Actor_08
471,sad,/03-01-04-01-01-02-08.wav,normal,Kids are talking by the door,Actor_08
472,disgust,/03-01-07-01-01-01-08.wav,normal,Kids are talking by the door,Actor_08
473,disgust,/03-01-07-02-02-01-08.wav,intense,Dogs are sitting by the door,Actor_08
474,sad,/03-01-04-02-02-02-08.wav,intense,Dogs are sitting by the door,Actor_08
475,happy,/03-01-03-02-02-02-08.wav,intense,Dogs are sitting by the door,Actor_08
476,happy,/03-01-03-01-01-02-08.wav,normal,Kids are talking by the door,Actor_08
477,calm,/03-01-02-02-01-01-08.wav,intense,Kids are talking by the door,Actor_08
478,calm,/03-01-02-01-02-01-08.wav,normal,Dogs are sitting by the door,Actor_08
479,neutral,/03-01-01-01-02-02-08.wav,normal,Dogs are sitting by the door,Actor_08
480,surprise,/03-01-08-02-01-01-09.wav,intense,Kids are talking by the door,Actor_09
481,surprise,/03-01-08-01-02-01-09.wav,normal,Dogs are sitting by the door,Actor_09
482,angry,/03-01-05-01-01-01-09.wav,normal,Kids are talking by the door,Actor_09
483,fear,/03-01-06-01-01-02-09.wav,normal,Kids are talking by the door,Actor_09
484,fear,/03-01-06-02-02-02-09.wav,intense,Dogs are sitting by the door,Actor_09
485,angry,/03-01-05-02-02-01-09.wav,intense,Dogs are sitting by the door,Actor_09
486,disgust,/03-01-07-01-02-01-09.wav,normal,Dogs are sitting by the door,Actor_09
487,sad,/03-01-04-01-02-02-09.wav,normal,Dogs are sitting by the door,Actor_09
488,sad,/03-01-04-02-01-02-09.wav,intense,Kids are talking by the door,Actor_09
489,disgust,/03-01-07-02-01-01-09.wav,intense,Kids are talking by the door,Actor_09
490,happy,/03-01-03-02-01-02-09.wav,intense,Kids are talking by the door,Actor_09
491,happy,/03-01-03-01-02-02-09.wav,normal,Dogs are sitting by the door,Actor_09
492,calm,/03-01-02-02-02-01-09.wav,intense,Dogs are sitting by the door,Actor_09
493,neutral,/03-01-01-01-01-02-09.wav,normal,Kids are talking by the door,Actor_09
494,calm,/03-01-02-01-01-01-09.wav,normal,Kids are talking by the door,Actor_09
495,happy,/03-01-03-02-02-01-09.wav,intense,Dogs are sitting by the door,Actor_09
496,happy,/03-01-03-01-01-01-09.wav,normal,Kids are talking by the door,Actor_09
497,calm,/03-01-02-02-01-02-09.wav,intense,Kids are talking by the door,Actor_09
498,calm,/03-01-02-01-02-02-09.wav,normal,Dogs are sitting by the door,Actor_09
499,neutral,/03-01-01-01-02-01-09.wav,normal,Dogs are sitting by the door,Actor_09
500,surprise,/03-01-08-02-02-02-09.wav,intense,Dogs are sitting by the door,Actor_09
501,surprise,/03-01-08-01-01-02-09.wav,normal,Kids are talking by the door,Actor_09
502,fear,/03-01-06-01-02-01-09.wav,normal,Dogs are sitting by the door,Actor_09
503,angry,/03-01-05-01-02-02-09.wav,normal,Dogs are sitting by the door,Actor_09
504,angry,/03-01-05-02-01-02-09.wav,intense,Kids are talking by the door,Actor_09
505,fear,/03-01-06-02-01-01-09.wav,intense,Kids are talking by the door,Actor_09
506,sad,/03-01-04-01-01-01-09.wav,normal,Kids are talking by the door,Actor_09
507,disgust,/03-01-07-01-01-02-09.wav,normal,Kids are talking by the door,Actor_09
508,disgust,/03-01-07-02-02-02-09.wav,intense,Dogs are sitting by the door,Actor_09
509,sad,/03-01-04-02-02-01-09.wav,intense,Dogs are sitting by the door,Actor_09
510,calm,/03-01-02-01-01-02-09.wav,normal,Kids are talking by the door,Actor_09
511,neutral,/03-01-01-01-01-01-09.wav,normal,Kids are talking by the door,Actor_09
512,calm,/03-01-02-02-02-02-09.wav,intense,Dogs are sitting by the door,Actor_09
513,happy,/03-01-03-01-02-01-09.wav,normal,Dogs are sitting by the door,Actor_09
514,happy,/03-01-03-02-01-01-09.wav,intense,Kids are talking by the door,Actor_09
515,surprise,/03-01-08-01-02-02-09.wav,normal,Dogs are sitting by the door,Actor_09
516,surprise,/03-01-08-02-01-02-09.wav,intense,Kids are talking by the door,Actor_09
517,disgust,/03-01-07-02-01-02-09.wav,intense,Kids are talking by the door,Actor_09
518,sad,/03-01-04-02-01-01-09.wav,intense,Kids are talking by the door,Actor_09
519,sad,/03-01-04-01-02-01-09.wav,normal,Dogs are sitting by the door,Actor_09
520,disgust,/03-01-07-01-02-02-09.wav,normal,Dogs are sitting by the door,Actor_09
521,angry,/03-01-05-02-02-02-09.wav,intense,Dogs are sitting by the door,Actor_09
522,fear,/03-01-06-02-02-01-09.wav,intense,Dogs are sitting by the door,Actor_09
523,fear,/03-01-06-01-01-01-09.wav,normal,Kids are talking by the door,Actor_09
524,angry,/03-01-05-01-01-02-09.wav,normal,Kids are talking by the door,Actor_09
525,surprise,/03-01-08-01-01-01-09.wav,normal,Kids are talking by the door,Actor_09
526,surprise,/03-01-08-02-02-01-09.wav,intense,Dogs are sitting by the door,Actor_09
527,sad,/03-01-04-02-02-02-09.wav,intense,Dogs are sitting by the door,Actor_09
528,disgust,/03-01-07-02-02-01-09.wav,intense,Dogs are sitting by the door,Actor_09
529,disgust,/03-01-07-01-01-01-09.wav,normal,Kids are talking by the door,Actor_09
530,sad,/03-01-04-01-01-02-09.wav,normal,Kids are talking by the door,Actor_09
531,fear,/03-01-06-02-01-02-09.wav,intense,Kids are talking by the door,Actor_09
532,angry,/03-01-05-02-01-01-09.wav,intense,Kids are talking by the door,Actor_09
533,angry,/03-01-05-01-02-01-09.wav,normal,Dogs are sitting by the door,Actor_09
534,fear,/03-01-06-01-02-02-09.wav,normal,Dogs are sitting by the door,Actor_09
535,neutral,/03-01-01-01-02-02-09.wav,normal,Dogs are sitting by the door,Actor_09
536,calm,/03-01-02-01-02-01-09.wav,normal,Dogs are sitting by the door,Actor_09
537,calm,/03-01-02-02-01-01-09.wav,intense,Kids are talking by the door,Actor_09
538,happy,/03-01-03-01-01-02-09.wav,normal,Kids are talking by the door,Actor_09
539,happy,/03-01-03-02-02-02-09.wav,intense,Dogs are sitting by the door,Actor_09
540,happy,/03-01-03-02-02-02-10.wav,intense,Dogs are sitting by the door,Actor_10
541,happy,/03-01-03-01-01-02-10.wav,normal,Kids are talking by the door,Actor_10
542,calm,/03-01-02-02-01-01-10.wav,intense,Kids are talking by the door,Actor_10
543,calm,/03-01-02-01-02-01-10.wav,normal,Dogs are sitting by the door,Actor_10
544,neutral,/03-01-01-01-02-02-10.wav,normal,Dogs are sitting by the door,Actor_10
545,fear,/03-01-06-01-02-02-10.wav,normal,Dogs are sitting by the door,Actor_10
546,angry,/03-01-05-01-02-01-10.wav,normal,Dogs are sitting by the door,Actor_10
547,angry,/03-01-05-02-01-01-10.wav,intense,Kids are talking by the door,Actor_10
548,fear,/03-01-06-02-01-02-10.wav,intense,Kids are talking by the door,Actor_10
549,sad,/03-01-04-01-01-02-10.wav,normal,Kids are talking by the door,Actor_10
550,disgust,/03-01-07-01-01-01-10.wav,normal,Kids are talking by the door,Actor_10
551,disgust,/03-01-07-02-02-01-10.wav,intense,Dogs are sitting by the door,Actor_10
552,sad,/03-01-04-02-02-02-10.wav,intense,Dogs are sitting by the door,Actor_10
553,surprise,/03-01-08-02-02-01-10.wav,intense,Dogs are sitting by the door,Actor_10
554,surprise,/03-01-08-01-01-01-10.wav,normal,Kids are talking by the door,Actor_10
555,angry,/03-01-05-01-01-02-10.wav,normal,Kids are talking by the door,Actor_10
556,fear,/03-01-06-01-01-01-10.wav,normal,Kids are talking by the door,Actor_10
557,fear,/03-01-06-02-02-01-10.wav,intense,Dogs are sitting by the door,Actor_10
558,angry,/03-01-05-02-02-02-10.wav,intense,Dogs are sitting by the door,Actor_10
559,disgust,/03-01-07-01-02-02-10.wav,normal,Dogs are sitting by the door,Actor_10
560,sad,/03-01-04-01-02-01-10.wav,normal,Dogs are sitting by the door,Actor_10
561,sad,/03-01-04-02-01-01-10.wav,intense,Kids are talking by the door,Actor_10
562,disgust,/03-01-07-02-01-02-10.wav,intense,Kids are talking by the door,Actor_10
563,surprise,/03-01-08-02-01-02-10.wav,intense,Kids are talking by the door,Actor_10
564,surprise,/03-01-08-01-02-02-10.wav,normal,Dogs are sitting by the door,Actor_10
565,happy,/03-01-03-02-01-01-10.wav,intense,Kids are talking by the door,Actor_10
566,happy,/03-01-03-01-02-01-10.wav,normal,Dogs are sitting by the door,Actor_10
567,calm,/03-01-02-02-02-02-10.wav,intense,Dogs are sitting by the door,Actor_10
568,neutral,/03-01-01-01-01-01-10.wav,normal,Kids are talking by the door,Actor_10
569,calm,/03-01-02-01-01-02-10.wav,normal,Kids are talking by the door,Actor_10
570,sad,/03-01-04-02-02-01-10.wav,intense,Dogs are sitting by the door,Actor_10
571,disgust,/03-01-07-02-02-02-10.wav,intense,Dogs are sitting by the door,Actor_10
572,disgust,/03-01-07-01-01-02-10.wav,normal,Kids are talking by the door,Actor_10
573,sad,/03-01-04-01-01-01-10.wav,normal,Kids are talking by the door,Actor_10
574,fear,/03-01-06-02-01-01-10.wav,intense,Kids are talking by the door,Actor_10
575,angry,/03-01-05-02-01-02-10.wav,intense,Kids are talking by the door,Actor_10
576,angry,/03-01-05-01-02-02-10.wav,normal,Dogs are sitting by the door,Actor_10
577,fear,/03-01-06-01-02-01-10.wav,normal,Dogs are sitting by the door,Actor_10
578,surprise,/03-01-08-01-01-02-10.wav,normal,Kids are talking by the door,Actor_10
579,surprise,/03-01-08-02-02-02-10.wav,intense,Dogs are sitting by the door,Actor_10
580,neutral,/03-01-01-01-02-01-10.wav,normal,Dogs are sitting by the door,Actor_10
581,calm,/03-01-02-01-02-02-10.wav,normal,Dogs are sitting by the door,Actor_10
582,calm,/03-01-02-02-01-02-10.wav,intense,Kids are talking by the door,Actor_10
583,happy,/03-01-03-01-01-01-10.wav,normal,Kids are talking by the door,Actor_10
584,happy,/03-01-03-02-02-01-10.wav,intense,Dogs are sitting by the door,Actor_10
585,calm,/03-01-02-01-01-01-10.wav,normal,Kids are talking by the door,Actor_10
586,neutral,/03-01-01-01-01-02-10.wav,normal,Kids are talking by the door,Actor_10
587,calm,/03-01-02-02-02-01-10.wav,intense,Dogs are sitting by the door,Actor_10
588,happy,/03-01-03-01-02-02-10.wav,normal,Dogs are sitting by the door,Actor_10
589,happy,/03-01-03-02-01-02-10.wav,intense,Kids are talking by the door,Actor_10
590,disgust,/03-01-07-02-01-01-10.wav,intense,Kids are talking by the door,Actor_10
591,sad,/03-01-04-02-01-02-10.wav,intense,Kids are talking by the door,Actor_10
592,sad,/03-01-04-01-02-02-10.wav,normal,Dogs are sitting by the door,Actor_10
593,disgust,/03-01-07-01-02-01-10.wav,normal,Dogs are sitting by the door,Actor_10
594,angry,/03-01-05-02-02-01-10.wav,intense,Dogs are sitting by the door,Actor_10
595,fear,/03-01-06-02-02-02-10.wav,intense,Dogs are sitting by the door,Actor_10
596,fear,/03-01-06-01-01-02-10.wav,normal,Kids are talking by the door,Actor_10
597,angry,/03-01-05-01-01-01-10.wav,normal,Kids are talking by the door,Actor_10
598,surprise,/03-01-08-01-02-01-10.wav,normal,Dogs are sitting by the door,Actor_10
599,surprise,/03-01-08-02-01-01-10.wav,intense,Kids are talking by the door,Actor_10
600,neutral,/03-01-01-01-02-02-11.wav,normal,Dogs are sitting by the door,Actor_11
601,calm,/03-01-02-01-02-01-11.wav,normal,Dogs are sitting by the door,Actor_11
602,calm,/03-01-02-02-01-01-11.wav,intense,Kids are talking by the door,Actor_11
603,happy,/03-01-03-01-01-02-11.wav,normal,Kids are talking by the door,Actor_11
604,happy,/03-01-03-02-02-02-11.wav,intense,Dogs are sitting by the door,Actor_11
605,sad,/03-01-04-02-02-02-11.wav,intense,Dogs are sitting by the door,Actor_11
606,disgust,/03-01-07-02-02-01-11.wav,intense,Dogs are sitting by the door,Actor_11
607,disgust,/03-01-07-01-01-01-11.wav,normal,Kids are talking by the door,Actor_11
608,sad,/03-01-04-01-01-02-11.wav,normal,Kids are talking by the door,Actor_11
609,fear,/03-01-06-02-01-02-11.wav,intense,Kids are talking by the door,Actor_11
610,angry,/03-01-05-02-01-01-11.wav,intense,Kids are talking by the door,Actor_11
611,angry,/03-01-05-01-02-01-11.wav,normal,Dogs are sitting by the door,Actor_11
612,fear,/03-01-06-01-02-02-11.wav,normal,Dogs are sitting by the door,Actor_11
613,surprise,/03-01-08-01-01-01-11.wav,normal,Kids are talking by the door,Actor_11
614,surprise,/03-01-08-02-02-01-11.wav,intense,Dogs are sitting by the door,Actor_11
615,disgust,/03-01-07-02-01-02-11.wav,intense,Kids are talking by the door,Actor_11
616,sad,/03-01-04-02-01-01-11.wav,intense,Kids are talking by the door,Actor_11
617,sad,/03-01-04-01-02-01-11.wav,normal,Dogs are sitting by the door,Actor_11
618,disgust,/03-01-07-01-02-02-11.wav,normal,Dogs are sitting by the door,Actor_11
619,angry,/03-01-05-02-02-02-11.wav,intense,Dogs are sitting by the door,Actor_11
620,fear,/03-01-06-02-02-01-11.wav,intense,Dogs are sitting by the door,Actor_11
621,fear,/03-01-06-01-01-01-11.wav,normal,Kids are talking by the door,Actor_11
622,angry,/03-01-05-01-01-02-11.wav,normal,Kids are talking by the door,Actor_11
623,surprise,/03-01-08-01-02-02-11.wav,normal,Dogs are sitting by the door,Actor_11
624,surprise,/03-01-08-02-01-02-11.wav,intense,Kids are talking by the door,Actor_11
625,calm,/03-01-02-01-01-02-11.wav,normal,Kids are talking by the door,Actor_11
626,neutral,/03-01-01-01-01-01-11.wav,normal,Kids are talking by the door,Actor_11
627,calm,/03-01-02-02-02-02-11.wav,intense,Dogs are sitting by the door,Actor_11
628,happy,/03-01-03-01-02-01-11.wav,normal,Dogs are sitting by the door,Actor_11
629,happy,/03-01-03-02-01-01-11.wav,intense,Kids are talking by the door,Actor_11
630,fear,/03-01-06-01-02-01-11.wav,normal,Dogs are sitting by the door,Actor_11
631,angry,/03-01-05-01-02-02-11.wav,normal,Dogs are sitting by the door,Actor_11
632,angry,/03-01-05-02-01-02-11.wav,intense,Kids are talking by the door,Actor_11
633,fear,/03-01-06-02-01-01-11.wav,intense,Kids are talking by the door,Actor_11
634,sad,/03-01-04-01-01-01-11.wav,normal,Kids are talking by the door,Actor_11
635,disgust,/03-01-07-01-01-02-11.wav,normal,Kids are talking by the door,Actor_11
636,disgust,/03-01-07-02-02-02-11.wav,intense,Dogs are sitting by the door,Actor_11
637,sad,/03-01-04-02-02-01-11.wav,intense,Dogs are sitting by the door,Actor_11
638,surprise,/03-01-08-02-02-02-11.wav,intense,Dogs are sitting by the door,Actor_11
639,surprise,/03-01-08-01-01-02-11.wav,normal,Kids are talking by the door,Actor_11
640,happy,/03-01-03-02-02-01-11.wav,intense,Dogs are sitting by the door,Actor_11
641,happy,/03-01-03-01-01-01-11.wav,normal,Kids are talking by the door,Actor_11
642,calm,/03-01-02-02-01-02-11.wav,intense,Kids are talking by the door,Actor_11
643,calm,/03-01-02-01-02-02-11.wav,normal,Dogs are sitting by the door,Actor_11
